Dataset,Packet,Method,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,2,ST,5626,88,6,0.148418491484185,0.815508021390374,0.251132153149444,0.143596986817326,1,0.0655737704918032,0.184491978609626,0.0382931
urban_events,2,ELiSeD,5626,88,11,0.0408759124087591,0.567567567567568,0.0762596459373582,0.0396413402548372,2,0.0476190476190477,0.432432432432432,0.0530419
urban_events,2,LE-calib,5626,88,29,0.336739659367397,0.453473132372215,0.386484222284278,0.239529248875043,2,0.385838150289017,0.546526867627785,1.0553565
urban_events,3,LLGD,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2282207
urban_events,3,ST,4574,85,4,0.00277008310249307,0.0144927536231884,0.00465116279069767,0.00233100233100233,NaN,0,0.985507246376812,0.0263465
urban_events,3,ELiSeD,4574,85,4,0.0117728531855956,0.346938775510204,0.0227729403884796,0.0115176151761518,2,0.117647058823529,0.653061224489796,0.0324145
urban_events,3,LE-calib,4574,85,19,0.243767313019391,0.322935779816514,0.277821625887924,0.161319890009166,NaN,0.480113636363636,0.677064220183486,0.813892
urban_events,4,LLGD,21068,123,89,0.663486416558862,0.308774834437086,0.421425636811832,0.266965970460017,1,0.56129661223495,0.691225165562914,1.8274516
urban_events,4,ST,21068,123,39,0.0572445019404916,0.32387923147301,0.097292840456232,0.0511339014877943,1.42857142857143,0.141242937853107,0.67612076852699,0.1827675
urban_events,4,ELiSeD,21068,123,44,0.0899094437257439,0.343421865348981,0.142509291298219,0.0767214019594315,1.57142857142857,0.0503597122302158,0.656578134651019,0.3856063
urban_events,4,LE-calib,21068,123,93,0.411707632600259,0.345876918896889,0.37593207825766,0.231475588689881,1,0.366064414768264,0.654123081103111,3.5662438
urban_events,5,LLGD,9792,105,67,0.413533834586466,0.398773006134969,0.406019307211811,0.254720342002138,1.33333333333333,0.407692307692308,0.601226993865031,0.6831917
urban_events,5,ST,9792,105,26,0.123770965876229,0.511961722488038,0.199347927340475,0.110708742886705,1.41666666666667,0.014018691588785,0.488038277511962,0.0829543
urban_events,5,ELiSeD,9792,105,22,0.0607287449392713,0.475113122171946,0.107692307692308,0.0569105691056911,1.11111111111111,0.0666666666666667,0.524886877828054,0.1269764
urban_events,5,LE-calib,9792,105,40,0.259398496240602,0.358656537385046,0.301057224366504,0.177202686685105,1,0.463768115942029,0.641343462614954,1.89046
urban_events,6,LLGD,18143,107,44,0.954312114989733,0.327769615045548,0.487947854236843,0.322705705358176,1,0.899228976152053,0.672230384954452,3.282948
urban_events,6,ST,18143,107,34,0.0634839151266256,0.357762777242044,0.107833163784334,0.056989247311828,1.15384615384615,0.0485175202156334,0.642237222757956,0.1705153
urban_events,6,ELiSeD,18143,107,10,0.0208761122518823,0.37888198757764,0.0395718456049303,0.0201853077432164,1.5,0.122950819672131,0.62111801242236,0.2448536
urban_events,6,LE-calib,18143,107,83,0.377138945927447,0.371920350995613,0.374511469838573,0.23039933096383,1.25,0.382032667876588,0.628079649004387,3.3553388
urban_events,7,LLGD,4494,93,27,0.0546184738955823,0.103186646433991,0.0714285714285714,0.037037037037037,NaN,0,0.896813353566009,0.241842
urban_events,7,ST,4494,93,9,0.0698795180722892,0.200923787528868,0.103694874851013,0.0546825895663105,1.5,0,0.799076212471132,0.026436
urban_events,7,ELiSeD,4494,93,1,0.0112449799196787,1,0.0222398729150119,0.0112449799196787,1,0,0,0.0346274
urban_events,7,LE-calib,4494,93,22,0.281124497991968,0.315884476534296,0.297492562685933,0.17473789316026,1,0.451428571428571,0.684115523465704,0.9291841
urban_events,8,LLGD,6674,94,50,0.172243554580362,0.295668549905838,0.217677642980936,0.122131466355504,1,0.375796178343949,0.704331450094162,0.3724091
urban_events,8,ST,6674,94,11,0.0970927043335162,0.351888667992048,0.15219260533104,0.0823638901814798,2,0.129943502824859,0.648111332007952,0.0487186
urban_events,8,ELiSeD,6674,94,11,0.0460778935820077,0.43979057591623,0.083416087388282,0.0435233160621762,1,0.0952380952380952,0.56020942408377,0.070037
urban_events,8,LE-calib,6674,94,32,0.419089413055403,0.35969868173258,0.387129465416772,0.240025133521835,1,0.535340314136126,0.64030131826742,1.1447124
urban_events,9,LLGD,26871,102,97,0.782886723507917,0.24476389946687,0.372932985204526,0.229205669965231,1,0.598405289770517,0.75523610053313,3.112424
urban_events,9,ST,26871,102,74,0.14190012180268,0.332145402708482,0.198847877106891,0.110400379057095,2,0.0236051502145923,0.667854597291518,0.2184352
urban_events,9,ELiSeD,26871,102,56,0.0246650426309379,0.0769596199524941,0.037357315807679,0.0190341910468805,1,0.0246913580246914,0.923040380047506,0.5807547
urban_events,9,LE-calib,26871,102,126,0.37911084043849,0.247859844714314,0.299747201155652,0.176295666949873,1.42857142857143,0.259036144578313,0.752140155285686,4.4281386
urban_events,10,LLGD,8008,86,81,0.414507772020725,0.293577981651376,0.343716433941998,0.207522697795071,1,0.509375,0.706422018348624,0.5029635
urban_events,10,ST,8008,86,13,0.0552677029360967,0.259634888438134,0.0911356354574582,0.0477433793360686,2.5,0.0234375,0.740365111561866,0.0594789
urban_events,10,ELiSeD,8008,86,52,0.238773747841105,0.424079754601227,0.305524861878453,0.180306488425171,2,0.139240506329114,0.575920245398773,0.136147
urban_events,10,LE-calib,8008,86,40,0.430483592400691,0.337280108254398,0.378224582701062,0.233216374269006,2,0.468405215646941,0.662719891745602,1.2712644
urban_events,11,LLGD,19623,102,53,0.970098410295231,0.27688651218063,0.430810606378955,0.274543409565637,1,0.896215372610222,0.72311348781937,4.632455
urban_events,11,ST,19623,102,37,0.0872445117335352,0.346356123215627,0.139380196523054,0.0749106272343191,1.5,0.0650759219088937,0.653643876784373,0.1633624
urban_events,11,ELiSeD,19623,102,43,0.0323618470855413,0.109615384615385,0.0499707773232028,0.0256256556271542,1.5,0.0526315789473685,0.890384615384615,0.3507127
urban_events,11,LE-calib,19623,102,91,0.336109008327025,0.269540142662012,0.299166175355849,0.175893829850451,1,0.429617117117117,0.730459857337988,3.4685964
urban_events,12,LLGD,13136,100,82,0.467089611419508,0.278355387523629,0.348830322771691,0.211262553802009,1.33333333333333,0.54442558007923,0.72164461247637,0.9713608
urban_events,12,ST,13136,100,23,0.0594766058683584,0.26071842410197,0.0968575118381403,0.0508934630174169,1.25,0.0577777777777778,0.73928157589803,0.1113614
urban_events,12,ELiSeD,13136,100,14,0.013745704467354,0.155223880597015,0.0252549781447305,0.0127889818002951,1,0,0.844776119402985,0.1571164
urban_events,12,LE-calib,13136,100,60,0.324610097805974,0.316250321916044,0.32037568484216,0.190742466604536,1,0.371335504885994,0.683749678083956,2.3117811
urban_events,13,LLGD,7950,95,86,0.262101534828808,0.266293482606957,0.264180880602935,0.152193784277879,1,0.301801801801802,0.733706517393043,0.505454
urban_events,13,ST,7950,95,16,0.0731995277449823,0.345724907063197,0.120818447547905,0.0642931213273419,1.42857142857143,0,0.654275092936803,0.0609364
urban_events,13,ELiSeD,7950,95,24,0.0381739472648564,0.186180422264875,0.0633572828216852,0.0327150084317032,1,0,0.813819577735125,0.0986214
urban_events,13,LE-calib,7950,95,35,0.264069264069264,0.319371727748691,0.289099526066351,0.168975069252078,1,0.464977645305514,0.680628272251309,1.5235488
urban_events,14,LLGD,3360,96,80,0.00350467289719626,0.00462962962962963,0.00398936170212766,0.00199866755496336,NaN,0,0.99537037037037,0.1704612
urban_events,14,ST,3360,96,4,0,0,0,0,NaN,NaN,1,0.0161581
urban_events,14,ELiSeD,3360,96,0,0,0,0,0,NaN,NaN,0,0.0186523
urban_events,14,LE-calib,3360,96,13,0.188084112149533,0.176341730558598,0.182023742227247,0.100124378109453,NaN,0.813664596273292,0.823658269441402,0.604344
