Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
office_spiral_events,7,eps_s = 0.02,Sensitivity,eps_s,0.02,1,12386,87,65,0.477266684392449,0.36226034308779,0.411886186324002,0.259355584453114,1.11111111111111,0.304735376044568,0.63773965691221,1.048443
office_spiral_events,7,eps_s = 0.025,Sensitivity,eps_s,0.025,1,12386,87,16,0.825312416910396,0.313345447203715,0.454232823589668,0.293855912146171,1,0.758376288659794,0.686654552796285,1.6913177
office_spiral_events,7,eps_t = 0.005,Sensitivity,eps_t,0.005,1,12386,87,12,0.754320659399096,0.332824964805256,0.461864061864062,0.300275190516511,1,0.740571025731406,0.667175035194744,1.6083961
office_spiral_events,7,eps_t = 0.01,Sensitivity,eps_t,0.01,1,12386,87,15,0.798457856952938,0.319604086845466,0.456487041118796,0.295745519007288,1,0.771228771228771,0.680395913154534,1.525234
office_spiral_events,7,eps_t = 0.015,Sensitivity,eps_t,0.015,1,12386,87,22,0.677213507045998,0.323182337266844,0.43755368493386,0.280043980208906,1.25,0.735767569689831,0.676817662733156,1.7398382
office_spiral_events,7,eps_t = 0.02,Sensitivity,eps_t,0.02,1,12386,87,65,0.477266684392449,0.36226034308779,0.411886186324002,0.259355584453114,1.11111111111111,0.304735376044568,0.63773965691221,0.9880751
office_spiral_events,7,eps_t = 0.025,Sensitivity,eps_t,0.025,1,12386,87,65,0.477266684392449,0.36226034308779,0.411886186324002,0.259355584453114,1.11111111111111,0.304735376044568,0.63773965691221,1.0045397
office_spiral_events,7,Event retention = 25%,Sparsity,retention,0.25,1,3097,80,5,0.036420395421436,0.416666666666667,0.0669856459330144,0.0346534653465347,1,0,0.583333333333333,0.1296663
office_spiral_events,7,Event retention = 25%,Sparsity,retention,0.25,2,3097,81,4,0.0674646354733406,0.837837837837838,0.124874118831823,0.0665950590762621,1,0.032258064516129,0.162162162162162,0.1561062
office_spiral_events,7,Event retention = 25%,Sparsity,retention,0.25,3,3097,80,7,0.0622406639004149,0.46875,0.10989010989011,0.0581395348837209,1,0,0.53125,0.154814
office_spiral_events,7,Event retention = 25%,Sparsity,retention,0.25,4,3097,76,1,0,0,0,0,NaN,NaN,1,0.1541153
office_spiral_events,7,Event retention = 25%,Sparsity,retention,0.25,5,3097,77,3,0.0367647058823529,0.360824742268041,0.0667302192564347,0.0345167652859961,NaN,0.314285714285714,0.639175257731959,0.1726922
office_spiral_events,7,Event retention = 50%,Sparsity,retention,0.5,1,6193,82,26,0.204595185995624,0.380467955239064,0.266097474208467,0.153467377923677,1.28571428571429,0.0695187165775401,0.619532044760936,0.3954962
office_spiral_events,7,Event retention = 50%,Sparsity,retention,0.5,2,6193,83,20,0.337716991057338,0.461206896551724,0.389918007895536,0.242172764994342,1.2,0.361370716510903,0.538793103448276,0.4239627
office_spiral_events,7,Event retention = 50%,Sparsity,retention,0.5,3,6193,84,23,0.301595744680851,0.5625,0.392659279778393,0.244291253769927,1,0.204585537918871,0.4375,0.4344551
office_spiral_events,7,Event retention = 50%,Sparsity,retention,0.5,4,6193,83,27,0.31423982869379,0.510879025239339,0.389128273118992,0.24156378600823,1,0.13458262350937,0.489120974760661,0.4442019
office_spiral_events,7,Event retention = 50%,Sparsity,retention,0.5,5,6193,85,17,0.28215987294865,0.461871750433276,0.350312191915872,0.212350597609562,1,0.363977485928705,0.538128249566724,0.4104978
office_spiral_events,7,Event retention = 75%,Sparsity,retention,0.75,1,9290,85,29,0.430388692579505,0.374884579870729,0.400723803257115,0.250565727216622,1.2,0.452380952380952,0.625115420129271,0.7408956
office_spiral_events,7,Event retention = 75%,Sparsity,retention,0.75,2,9290,86,25,0.572695035460993,0.364148816234498,0.445210199862164,0.286347517730496,1.14285714285714,0.597523219814242,0.635851183765502,0.7324985
office_spiral_events,7,Event retention = 75%,Sparsity,retention,0.75,3,9290,86,38,0.453052481256694,0.365390152605816,0.404526617787695,0.253546453546454,1,0.449960598896769,0.634609847394184,0.6990254
office_spiral_events,7,Event retention = 75%,Sparsity,retention,0.75,4,9290,84,59,0.392378263937897,0.388403772266853,0.390380902229243,0.242529989094875,1.25,0.236510791366906,0.611596227733147,0.8453048
office_spiral_events,7,Event retention = 75%,Sparsity,retention,0.75,5,9290,86,39,0.453232213795594,0.353521126760563,0.397214749169172,0.247827804107425,1.33333333333333,0.396812749003984,0.646478873239437,0.7144659
office_spiral_events,7,Added events = 5%,AddedEvents,added-event ratio,0.05,1,13005,87,79,0.505450678011167,0.299134539732494,0.375840253064452,0.231405964698722,1.22222222222222,0.283534981588638,0.700865460267506,0.9893528
office_spiral_events,7,Added events = 5%,AddedEvents,added-event ratio,0.05,2,13005,87,66,0.501728263759638,0.361771472392638,0.420407708588615,0.266149506346968,1.125,0.311075781664017,0.638228527607362,1.0707864
office_spiral_events,7,Added events = 5%,AddedEvents,added-event ratio,0.05,3,13005,87,68,0.505716564743419,0.3323431766556,0.401096583719949,0.250857293590082,1.1,0.271293375394322,0.6676568233444,1.0043098
office_spiral_events,7,Added events = 5%,AddedEvents,added-event ratio,0.05,4,13005,87,63,0.569529380483914,0.316863905325444,0.407185628742515,0.255639097744361,1.42857142857143,0.470588235294118,0.683136094674556,1.0910982
office_spiral_events,7,Added events = 5%,AddedEvents,added-event ratio,0.05,5,13005,87,59,0.526189843126828,0.335253261053702,0.409561258278146,0.257514638906962,1.55555555555556,0.370389085396665,0.664746738946299,0.9794601
office_spiral_events,7,Added events = 10%,AddedEvents,added-event ratio,0.1,1,13625,87,43,0.67614996011699,0.3104248046875,0.425499874508492,0.270244420828905,1.14285714285714,0.55957530475816,0.6895751953125,1.3715893
office_spiral_events,7,Added events = 10%,AddedEvents,added-event ratio,0.1,2,13625,87,76,0.563413985642116,0.368265554396941,0.445401996847084,0.28650621957815,1.36363636363636,0.315714959886739,0.631734445603059,1.0579024
office_spiral_events,7,Added events = 10%,AddedEvents,added-event ratio,0.1,3,13625,87,42,0.704333953735709,0.289539840419718,0.410379550735864,0.258161972517298,2,0.633824084560211,0.710460159580282,1.5182449
office_spiral_events,7,Added events = 10%,AddedEvents,added-event ratio,0.1,4,13625,87,62,0.55490561021005,0.306461086637298,0.394853845426166,0.245992456388496,1.16666666666667,0.409199808337326,0.693538913362702,1.0977164
office_spiral_events,7,Added events = 10%,AddedEvents,added-event ratio,0.1,5,13625,87,49,0.742887529912257,0.288845239325959,0.415959505731726,0.262593984962406,1,0.581603435934145,0.711154760674041,1.4584467
office_spiral_events,7,Added events = 20%,AddedEvents,added-event ratio,0.2,1,14863,87,38,0.607551183195958,0.284380833851898,0.387419464225161,0.24024813373988,1.2,0.539168490153173,0.715619166148102,1.2291735
office_spiral_events,7,Added events = 20%,AddedEvents,added-event ratio,0.2,2,14863,87,77,0.62190906673757,0.307763157894737,0.411759528210545,0.259255154067834,1.27272727272727,0.308251389482685,0.692236842105263,1.1867518
office_spiral_events,7,Added events = 20%,AddedEvents,added-event ratio,0.2,3,14863,87,50,0.739696889125233,0.294453852667231,0.421227950639715,0.266807327131486,1,0.615025161754134,0.705546147332769,1.3365935
office_spiral_events,7,Added events = 20%,AddedEvents,added-event ratio,0.2,4,14863,87,91,0.571922361074182,0.317256637168142,0.40812067166303,0.256376638855781,1,0.237099023709902,0.682743362831858,1.1648801
office_spiral_events,7,Added events = 20%,AddedEvents,added-event ratio,0.2,5,14863,87,68,0.595054506780112,0.292625523012552,0.392321851170129,0.244030094864246,1.5,0.425379803395889,0.707374476987448,1.2269548
office_spiral_events,7,Added events = 30%,AddedEvents,added-event ratio,0.3,1,16102,87,41,0.781706992821058,0.266328471781864,0.397297297297297,0.247892074198988,1.14285714285714,0.596598639455782,0.733671528218136,1.6956543
