Dataset,Experiment,Category,Parameter,Value,Runs,Packets,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,FragmentationN,MergeError,MergeErrorN,ExtraEventRatio,RuntimeSeconds,RuntimeStd
urban_events,p_in = 0.8,Sensitivity,p_in,0.8,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.26634784,1.23044663703741
urban_events,p_in = 0.9,Sensitivity,p_in,0.9,30,30,10946.8333333333,96.2666666666667,51.2333333333333,0.386102623792932,0.287665133814926,0.297881254749743,0.184021889044928,1.09529914529915,26,0.375330631228045,30,0.712334866185075,1.26260928,1.21827992679786
urban_events,p_w = 0.7,Sensitivity,p_w,0.7,30,30,10946.8333333333,96.2666666666667,53.5333333333333,0.388547532613715,0.282183539810893,0.296776770140947,0.183528719192667,1.16282051282051,26,0.395776435456395,30,0.717816460189107,1.27962022666667,1.15760092309962
urban_events,p_w = 0.8,Sensitivity,p_w,0.8,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.28507538333333,1.17434391316704
urban_events,p_w = 0.9,Sensitivity,p_w,0.9,30,30,10946.8333333333,96.2666666666667,53.1333333333333,0.403815187012345,0.282502982877428,0.30070719942355,0.187016551006289,1.15902777777778,24,0.404098030683037,30,0.717497017122572,1.40942667,1.49974071116536
urban_events,overlap = 0.7,Sensitivity,overlap,0.7,30,30,10946.8333333333,96.2666666666667,54.7333333333333,0.400809014704069,0.282068188492999,0.300945985991907,0.187012669129502,1.08974358974359,26,0.400232692410183,30,0.717931811507002,1.29839292333333,1.21716949350038
urban_events,overlap = 0.8,Sensitivity,overlap,0.8,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.2314376,1.18010113204081
urban_events,overlap = 0.9,Sensitivity,overlap,0.9,30,30,10946.8333333333,96.2666666666667,54.3,0.405474613308398,0.284168365713755,0.303663848865381,0.188977786400476,1.08974358974359,26,0.40333835309829,30,0.715831634286246,1.31925227,1.40843677032993
urban_events,eps_s = 0.015,Sensitivity,eps_s,0.015,30,30,10946.8333333333,96.2666666666667,73.7333333333333,0.307652766841047,0.289896419495782,0.276118485535634,0.167260208016985,1.2503719152842,27,0.230827396311958,29,0.710103580504218,0.948156243333333,0.860227070863973
urban_events,eps_s = 0.02,Sensitivity,eps_s,0.02,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.30723324,1.41295793674439
urban_events,eps_s = 0.025,Sensitivity,eps_s,0.025,30,30,10946.8333333333,96.2666666666667,40.0666666666667,0.514410334068093,0.298466734281927,0.347307359599015,0.219603980800639,1.02777777777778,21,0.5565806588503,30,0.701533265718073,1.48693375,1.44421126550882
urban_events,eps_t = 0.005,Sensitivity,eps_t,0.005,30,30,10946.8333333333,96.2666666666667,20.4666666666667,0.468794825808675,0.304690635051711,0.314352889344155,0.197819299586043,1.30769230769231,13,0.638086439210697,29,0.695309364948289,2.15750281666667,2.70571637227033
urban_events,eps_t = 0.01,Sensitivity,eps_t,0.01,30,30,10946.8333333333,96.2666666666667,39.5666666666667,0.469435514209233,0.292161186982039,0.330778670428028,0.208805283398448,1.17105263157895,19,0.525562684866872,30,0.707838813017961,1.5145929,1.68011924156896
urban_events,eps_t = 0.015,Sensitivity,eps_t,0.015,30,30,10946.8333333333,96.2666666666667,49.6333333333333,0.427868363335478,0.291015957029522,0.315113486964459,0.197294721330998,1.12053571428571,24,0.437532475159058,30,0.708984042970478,1.42605346,1.65462858227701
urban_events,eps_t = 0.02,Sensitivity,eps_t,0.02,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.24983831333333,1.25824512783248
urban_events,eps_t = 0.025,Sensitivity,eps_t,0.025,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.20498116,1.1966772136195
urban_events,Event retention = 25%,Sparsity,retention,0.25,150,30,2736.9,84.4466666666667,6.46,0.064838070702296,0.240444694067557,0.0899829795226485,0.0509261868113153,1.05952380952381,70,0.132568926450834,111,0.739555305932443,0.152559733333333,0.126257316496365
urban_events,Event retention = 50%,Sparsity,retention,0.5,150,30,5473.56666666667,91.54,24.62,0.185907264643396,0.284145967319303,0.200647757596702,0.116715319912859,1.09385093167702,115,0.244033993990311,141,0.715854032680697,0.406141684666667,0.319032919078494
urban_events,Event retention = 75%,Sparsity,retention,0.75,150,30,8210.2,94.3933333333333,43.82,0.293950372001198,0.286093341129076,0.262400324069595,0.157709871126324,1.1432298026048,120,0.319243647958548,149,0.713906658870925,0.752552921333333,0.752126943253461
urban_events,Added events = 5%,AddedEvents,added-event ratio,0.05,150,30,11494.2333333333,96.2666666666667,57.22,0.414686846671173,0.28182040827422,0.307651385677486,0.190857738815447,1.17144773629149,128,0.411758627490476,150,0.71817959172578,1.38391762066667,1.56013789791609
urban_events,Added events = 10%,AddedEvents,added-event ratio,0.1,150,30,12041.5,96.2666666666667,56.0466666666667,0.441152396177479,0.275019564193992,0.308100657960233,0.190439207560153,1.14745894601267,121,0.43658909849141,148,0.724980435806008,1.61800925666667,1.7787633443794
urban_events,Added events = 20%,AddedEvents,added-event ratio,0.2,150,30,13136.2666666667,96.2666666666667,55.2266666666667,0.487091627813412,0.274213696996754,0.320148712426678,0.197795782788227,1.12641865079365,120,0.472140959966744,149,0.725786303003246,1.96129285266667,2.31243680611555
urban_events,Added events = 30%,AddedEvents,added-event ratio,0.3,150,30,14230.8666666667,96.2666666666667,52.2933333333333,0.52494600396451,0.261543908781402,0.318573377758286,0.19642543490629,1.10385019021383,121,0.495161041376712,148,0.738456091218597,2.465156398,2.94439816056904
urban_events,Full LLGD runtime,Runtime,-,NaN,90,30,10946.8333333333,96.2666666666667,55.1777777777778,0.39681607115143,0.283000815888194,0.298901552304467,0.184986955163952,1.11305916305916,77,0.389070404879585,90,0.716999184111806,1.24778759222222,1.28949378926068
