Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,2,Added events = 10%,AddedEvents,added-event ratio,0.1,1,6189,88,38,0.0564476885644769,0.197614991482112,0.0878122634367903,0.0459224069675376,NaN,0.344827586206897,0.802385008517888,0.3972156
urban_events,2,Added events = 10%,AddedEvents,added-event ratio,0.1,2,6189,88,43,0.0549878345498783,0.185855263157895,0.084866691701089,0.0443137254901961,NaN,0.336283185840708,0.814144736842105,0.3864272
urban_events,2,Added events = 10%,AddedEvents,added-event ratio,0.1,3,6189,88,44,0.0559610705596107,0.173453996983409,0.0846210448859456,0.0441797925470611,NaN,0.339130434782609,0.826546003016591,0.3566592
urban_events,2,Added events = 10%,AddedEvents,added-event ratio,0.1,4,6189,88,41,0.0564476885644769,0.193979933110368,0.0874481718808896,0.0457232952305873,NaN,0.344827586206897,0.806020066889632,0.3794829
urban_events,2,Added events = 10%,AddedEvents,added-event ratio,0.1,5,6189,88,42,0.166423357664234,0.416058394160584,0.237747653806048,0.13491124260355,1,0.116959064327485,0.583941605839416,0.4179875
urban_events,2,Added events = 20%,AddedEvents,added-event ratio,0.2,1,6751,88,43,0.0569343065693431,0.188102893890675,0.0874112812850205,0.045703125,NaN,0.341880341880342,0.811897106109325,0.4273498
urban_events,2,Added events = 20%,AddedEvents,added-event ratio,0.2,2,6751,88,48,0.168369829683698,0.383167220376523,0.23394185260311,0.132465543644717,1,0.115606936416185,0.616832779623477,0.4075774
urban_events,2,Added events = 20%,AddedEvents,added-event ratio,0.2,3,6751,88,52,0.191727493917275,0.375238095238095,0.25378421900161,0.145333825156769,1,0.137055837563452,0.624761904761905,0.4465084
urban_events,2,Added events = 20%,AddedEvents,added-event ratio,0.2,4,6751,88,50,0.205839416058394,0.417571569595262,0.275749674054759,0.15992438563327,1.5,0.163120567375887,0.582428430404738,0.4279103
urban_events,2,Added events = 20%,AddedEvents,added-event ratio,0.2,5,6751,88,40,0.0812652068126521,0.248511904761905,0.122478914558122,0.065234375,NaN,0.389221556886228,0.751488095238095,0.459124
urban_events,2,Added events = 30%,AddedEvents,added-event ratio,0.3,1,7314,88,48,0.191240875912409,0.403490759753593,0.259491581379993,0.149089529590288,1,0.137404580152672,0.596509240246407,0.5487243
urban_events,2,Added events = 30%,AddedEvents,added-event ratio,0.3,2,7314,88,55,0.0982968369829684,0.226711560044893,0.137135098438561,0.0736151603498542,1,0.301980198019802,0.773288439955107,0.4998714
urban_events,2,Added events = 30%,AddedEvents,added-event ratio,0.3,3,7314,88,45,0.226277372262774,0.339912280701754,0.271691498685364,0.157200811359026,1,0.27741935483871,0.660087719298246,0.5014595
urban_events,2,Added events = 30%,AddedEvents,added-event ratio,0.3,4,7314,88,48,0.170316301703163,0.353178607467205,0.229809586342745,0.129821958456973,1,0.12,0.646821392532795,0.4919644
urban_events,2,Added events = 30%,AddedEvents,added-event ratio,0.3,5,7314,88,44,0.203892944038929,0.471316085489314,0.284646739130435,0.165940594059406,1,0.138424821002387,0.528683914510686,0.5331912
urban_events,2,Full LLGD runtime,Runtime,-,NaN,1,5626,88,32,0.0564476885644769,0.215613382899628,0.0894716544543,0.0468308437626161,NaN,0.344827586206897,0.784386617100372,0.3407612
urban_events,2,Full LLGD runtime,Runtime,-,NaN,2,5626,88,32,0.0564476885644769,0.215613382899628,0.0894716544543,0.0468308437626161,NaN,0.344827586206897,0.784386617100372,0.4143333
urban_events,2,Full LLGD runtime,Runtime,-,NaN,3,5626,88,32,0.0564476885644769,0.218045112781955,0.0896791650560495,0.046944556859571,NaN,0.344827586206897,0.781954887218045,0.4110786
urban_events,3,Full LLGD,Full,-,NaN,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2733243
urban_events,3,w/o weighted support,Ablation,UseWeights,0,1,4574,85,222,0.813711911357341,0.355844942459116,0.495153813737885,0.329039484738169,1.59375,0.254468085106383,0.644155057540884,0.4987478
urban_events,3,w/o local verification,Ablation,UseVerification,0,1,4574,85,28,0.0962603878116343,0.174623115577889,0.124107142857143,0.0661589719181342,NaN,0.381294964028777,0.825376884422111,0.2435011
