Tick,Events,Seconds
314,840,0.0026047959999999999
315,842,0.002471324
316,913,0.0022962159999999998
317,767,0.002249418
318,840,0.0020050620000000002
319,738,0.0020533919999999998
320,848,0.0024508669999999998
321,762,0.00194875
322,751,0.002086554
323,819,0.0020144970000000001
324,874,0.0023846739999999998
325,812,0.002003725
326,777,0.0019370189999999999
327,775,0.0024812940000000002
328,747,0.0021426190000000001
329,779,0.0022963900000000001
330,809,0.001955212
331,788,0.0018924289999999999
332,810,0.0019190100000000001
333,769,0.001854928
334,791,0.0019742029999999999
335,863,0.002027282
336,870,0.002289985
337,786,0.0020941409999999999
338,852,0.002020198
339,725,0.0019158350000000001
340,727,0.002064846
341,732,0.0020934299999999999
342,687,0.0020733819999999999
343,650,0.002251921
344,606,0.0022574399999999999
345,573,0.002427677
346,523,0.002411145
347,486,0.0024116139999999999
348,430,0.0022642589999999998
349,329,0.0023743200000000001
350,400,0.0023954169999999999
351,281,0.0023694649999999999
352,307,0.0022117090000000001
353,300,0.002298862
354,260,0.0019606279999999999
355,338,0.001872318
356,353,0.001930513
357,348,0.0024087459999999998
358,393,0.0024550010000000001
359,465,0.0024972390000000001
360,470,0.0023844859999999999
361,621,0.0024457189999999998
362,680,0.0022917369999999999
363,645,0.0026925080000000001
364,701,0.0023855080000000002
365,673,0.0095663529999999997
366,731,0.0044363559999999998
367,714,0.0019933059999999998
368,734,0.002831203
369,725,0.0027390320000000002
370,707,0.0074708459999999997
371,676,0.0057645739999999997
372,674,0.001741222
373,745,0.001916573
374,675,0.00173664
375,694,0.0016954050000000001
376,760,0.001771934
377,953,0.001742686
378,903,0.001880867
379,1062,0.002164788
380,956,0.0022463299999999999
381,1134,0.001939199
382,1087,0.002155021
383,1186,0.0021617749999999999
384,1199,0.0018777539999999999
385,1142,0.001865032
386,1150,0.00193749
387,1188,0.0020483229999999999
388,1095,0.0020616609999999998
389,1111,0.0021444120000000001
390,977,0.0017949190000000001
391,883,0.0018023869999999999
392,863,0.0018476409999999999
393,789,0.0016140709999999999
394,720,0.003156889
395,675,0.0016511780000000001
396,727,0.001858232
397,816,0.002028237
398,885,0.001873516
399,973,0.0019871450000000001
400,1131,0.0019228820000000001
401,1306,0.001848262
402,1432,0.0019291670000000001
403,1581,0.0019186629999999999
404,1681,0.0020138090000000001
405,1761,0.0023304039999999999
406,1680,0.002040324
407,1664,0.0022604930000000001
408,1719,0.0020729939999999999
